"id","vignette","structure","p_C","p_A","cause","conf","attn_check","duration","age","sex"
"R_1Hko9ElnpuhEKOQ","cards","dis",0.4,0.3,1,1,"Yes.",3.31666666666667,34,"Male"
"R_1Hko9ElnpuhEKOQ","casino","con",0.1,0.1,1,1,"Yes.",3.31666666666667,34,"Male"
"R_1Hko9ElnpuhEKOQ","chores","dis",0.7,0.6,1,1,"Yes.",3.31666666666667,34,"Male"
"R_1Hko9ElnpuhEKOQ","ducks","con",0.3,1,1,1,"Yes.",3.31666666666667,34,"Male"
"R_1Hko9ElnpuhEKOQ","fruit","con",0.9,1,1,1,"Yes.",3.31666666666667,34,"Male"
"R_1Hko9ElnpuhEKOQ","wheels","con",0.9,0.9,0.51,0.555,"Yes.",3.31666666666667,34,"Male"
"R_28BBguI9tmjPuyN","cards","dis",0.2,0.9,1,1,"Yes.",4.85,35,"Male"
"R_28BBguI9tmjPuyN","casino","con",0.5,0.6,0.707,1,"Yes.",4.85,35,"Male"
"R_28BBguI9tmjPuyN","chores","con",0.4,0.3,0.724,1,"Yes.",4.85,35,"Male"
"R_28BBguI9tmjPuyN","ducks","con",0.1,0.9,0.768,1,"Yes.",4.85,35,"Male"
"R_28BBguI9tmjPuyN","fruit","dis",0.3,0.2,1,1,"Yes.",4.85,35,"Male"
"R_28BBguI9tmjPuyN","wheels","con",0.5,0.5,0.792,1,"Yes.",4.85,35,"Male"
"R_2zSbP98CF8DRhhj","cards","con",1,0.3,0,1,"Yes.",5.38333333333333,27,"Other"
"R_2zSbP98CF8DRhhj","casino","dis",0.1,0.8,1,1,"Yes.",5.38333333333333,27,"Other"
"R_2zSbP98CF8DRhhj","chores","dis",0.6,0.4,1,1,"Yes.",5.38333333333333,27,"Other"
"R_2zSbP98CF8DRhhj","ducks","dis",0.8,0.3,1,1,"Yes.",5.38333333333333,27,"Other"
"R_2zSbP98CF8DRhhj","fruit","dis",0.2,0.2,1,1,"Yes.",5.38333333333333,27,"Other"
"R_2zSbP98CF8DRhhj","wheels","con",0.8,0.3,0.721,0.752,"Yes.",5.38333333333333,27,"Other"
